Digit, GSA, Ktsba, DC 
1,5.67E-06,1.67E-06,1.33E-06
26,0.000324556,0.00112756,0.00167678
51,0.00121285,0.00367985,0.00700526
76,0.00281262,0.00758362,0.0196188
101,0.00504854,0.0124635,0.0316009
126,0.00797685,0.0173835,0.0391166
151,0.0115703,0.0247982,0.0810445
176,0.0160591,0.0319781,0.11062
201,0.02114,0.039722,0.135577
226,0.0270697,0.0475337,0.153267
251,0.0334176,0.0552879,0.165041
276,0.0408505,0.0675706,0.278694
301,0.0487602,0.0793062,0.36273
326,0.0574634,0.0907087,0.428664
351,0.0663601,0.10057,0.474147
376,0.0767614,0.110898,0.507095
401,0.0873255,0.12259,0.559491
426,0.0984695,0.135122,0.602671
451,0.110862,0.146693,0.630022
476,0.123307,0.157475,0.651445
501,0.13651,0.168554,0.666803
526,0.150546,0.187671,0.944745
551,0.165433,0.208092,1.20316
576,0.180985,0.225268,1.35272
601,0.197386,0.244163,1.52726
626,0.214375,0.258523,1.63202
651,0.232031,0.275373,1.76467
676,0.250665,0.29182,1.87142
701,0.269668,0.305592,1.94097
726,0.289508,0.320161,2.01098
751,0.309962,0.333789,2.05556
776,0.331335,0.351675,2.16112
801,0.353319,0.372326,2.27653
826,0.376059,0.39105,2.35917
851,0.399388,0.408786,2.43441
876,0.423268,0.42378,2.48645
901,0.448083,0.4411,2.53784
926,0.473834,0.45971,2.58839
951,0.499682,0.476168,2.6305
976,0.526949,0.494142,2.66682
1001,0.554709,0.512616,2.69947
1501,1.03497,0.851165,6.45412
2001,1.88538,1.32788,9.41507
2501,3.41977,2.28553,25.6926
3001,4.94715,2.86382,31.4263
3501,6.76655,3.6958,39.0669
4001,8.49909,4.44392,42.6845
4501,10.813,5.75036,76.4283
